Species Name,Common Name,Genus,Species,Type,Group,Leaf Arrangement,Leaf Type,Leaf Margin
,Atlantic white cedar,Chamaecyparis,thyoides,Conifer,Cedar,Scale-like,Scale-like,Entire
,bald cypress,Taxodium,distichum,Conifer,Cypress,Needle-like,Needle,Entire
,American sycamore,Platanus,occidentalis,Deciduous,Sycamore,Alternate,Compound,Lobed
,sweetgum,Liquidambar,styraciflua,Deciduous,Sweetgum,Alternate,Compound,Lobed
,black cherry,Prunus,serotina,Deciduous,Cherry,Alternate,Compound,Serrated
,hackberry,Celtis,occidentalis,Deciduous,Hackberry,Alternate,Compound,Serrated
,Kentucky coffeetree,Gymnocladus,dioicus,Deciduous,Coffee tree,Alternate,Compound,Entire
,black locust,Robinia,pseudoacacia,Deciduous,Locust,Alternate,Compound,Entire
,tree-of-heaven,Ailanthus,altissima,Deciduous,Invasive,Alternate,Compound,Entire
,glossy buckthorn,Frangula,alnus,Deciduous,Buckthorn,Alternate,Compound,Serrated
,common buckthorn,Rhamnus,cathartica,Deciduous,Buckthorn,Alternate,Compound,Serrated
,callery pear,Pyrus,calleryana,Deciduous,Pear,Alternate,Compound,Entire
,princess tree,Paulownia,tomentosa,Deciduous,Paulownia,Opposite,Simple,Entire
